기준_년분기_코드,상권_코드_명,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
2024-01-01,옥수역 6번,한식음식점,706877836.0,15698,493892437.0,212985399.0,79250180.0,98070341.0,98341521.0,99581805.0,118648590.0,115153706.0,97831693.0,11368710.0,9316582.0,139233310.0,61640203.0,341943506.0,143375525,351547992.0,264426983.0,846523,63152507.0,141390302.0,132866807.0,174275057.0,103443777.0,11543,4155,2168,2267,2380,2281,2447,2282,1873,140,357,4888,1861,6571,1881,7814,6276,24,1232,3274,2712,3831,3018
2024-01-01,옥수역 6번,제과점,50736401.0,5001,38323938.0,12412463.0,5391954.0,7859259.0,8174281.0,8494366.0,8404078.0,12412463.0,0.0,0.0,8739634.0,16599455.0,14838703.0,10558609.0,0,17024990.0,31611726.0,56254,2331349.0,10344142.0,11899376.0,12922221.0,11083375.0,3838,1163,563,788,811,826,850,1163,0,0,839,1451,1530,1181,0,1613,3226,17,285,1038,1219,1307,974
2024-01-01,옥수역 6번,패스트푸드점,9801771.0,541,4063788.0,5737983.0,385595.0,284410.0,1434633.0,568821.0,1390329.0,2192696.0,3545287.0,30082.0,0.0,883860.0,3898066.0,3379015.0,1610748,2594699.0,6922114.0,0,2757142.0,4215838.0,935821.0,1375562.0,232451.0,244,297,21,16,87,38,82,116,181,5,0,59,215,175,87,131,399,0,153,236,49,76,16
2024-01-01,옥수역 6번,치킨전문점,229548108.0,5582,172376087.0,57172021.0,29878189.0,25733447.0,38287202.0,36619589.0,41857660.0,39183925.0,17988096.0,14817394.0,0.0,23137.0,4503178.0,89412817.0,120791582,152687202.0,62628902.0,0,8955625.0,43823836.0,60473467.0,70881636.0,31181540.0,4112,1470,695,657,829,902,1029,1031,439,390,0,1,127,2427,2637,3626,1736,0,274,1064,1544,1779,702
2024-01-01,옥수역 6번,분식전문점,268459782.0,20666,195855648.0,72604134.0,30228598.0,41495486.0,55861503.0,36044509.0,32225552.0,45562739.0,27041395.0,92573.0,31082883.0,86664637.0,47802928.0,89701967.0,13114794,126498992.0,108794350.0,977352,12885389.0,47402057.0,65384137.0,76772114.0,31872290.0,15161,5505,2811,2755,3191,3162,3242,3055,2450,6,1107,6714,4344,7221,1274,9151,10574,111,1530,4710,5633,4730,3011
2024-01-01,옥수역 6번,호프-간이주점,71870558.0,1614,50239130.0,21631428.0,11127155.0,10628850.0,8481155.0,8834951.0,11167019.0,12936002.0,8695426.0,11735087.0,0.0,0.0,0.0,12407800.0,47727671,37901094.0,24172785.0,348814,17699800.0,18028682.0,8570849.0,12497495.0,4928239.0,1086,528,259,219,209,190,209,288,240,230,0,0,0,339,1045,867,587,10,419,439,200,280,110
2024-01-01,옥수역 6번,커피-음료,204388834.0,33092,123202865.0,81185969.0,23616553.0,21870115.0,25035025.0,26931193.0,25749979.0,42212886.0,38973083.0,240349.0,27279887.0,66357048.0,66983217.0,37838285.0,5690048,85477363.0,105087341.0,1549304,28006817.0,67171471.0,36349251.0,31699476.0,25788383.0,21101,11991,4064,3616,4560,4583,4278,6125,5866,5,5568,10356,10367,6319,477,15334,16536,285,4867,11024,5935,5522,4235
2024-01-01,옥수터널,패스트푸드점,59617301.0,2091,36904353.0,22712948.0,6153623.0,4668307.0,6518281.0,11847871.0,7716271.0,9380567.0,13332381.0,0.0,0.0,14847784.0,12410049.0,31438582.0,920886,29575470.0,25084350.0,51401,3268220.0,8165711.0,15797368.0,13630904.0,13746214.0,1284,807,238,214,191,346,295,347,460,0,0,462,422,1155,52,1076,888,6,135,332,503,508,479
2024-01-01,옥수터널,커피-음료,19397711.0,2777,12296772.0,7100939.0,1742061.0,2131413.0,2862285.0,2398354.0,3162659.0,2581458.0,4519481.0,0.0,4272599.0,7024301.0,7478977.0,621834.0,0,8482241.0,10493200.0,0,2589190.0,6048433.0,4854674.0,3349620.0,2133523.0,1810,967,277,309,422,314,488,386,581,0,679,962,1039,97,0,1230,1521,0,417,836,728,452,318
2024-01-01,신금호역 4번,한식음식점,395923353.0,10707,284764997.0,111158356.0,59468454.0,50036614.0,58502841.0,58391651.0,58365437.0,68082744.0,43075612.0,0.0,8571569.0,107944580.0,53279270.0,187246872.0,38881062,244303747.0,130547540.0,143410,13353753.0,50384052.0,74659728.0,95236451.0,141073894.0,8687,2020,1749,1384,1987,1832,1735,1404,616,0,185,4090,1720,4150,562,6557,3881,13,592,1613,2027,2695,3495
