encoded_mct,mct_bse_ar,mct_nm,mct_brd_num,hpsn_mct_zcd_nm,hpsn_mct_bzn_cd_nm,ta_ym,m12_mal_1020_rat,m12_mal_30_rat,m12_mal_40_rat,m12_mal_50_rat,m12_mal_60_rat,m12_fme_1020_rat,m12_fme_30_rat,m12_fme_40_rat,m12_fme_50_rat,m12_fme_60_rat,mct_ue_cln_reu_rat,mct_ue_cln_new_rat,rc_m1_shc_rsd_ue_cln_rat,rc_m1_shc_wp_ue_cln_rat,rc_m1_shc_flp_ue_cln_rat,mct_ope_ms_cn,rc_m1_saa,rc_m1_to_ue_ct,rc_m1_ue_cus_cn,rc_m1_av_np_at,apv_ce_rat,dlv_saa_rat,m1_sme_ry_saa_rat,m1_sme_ry_cnt_rat,m12_sme_ry_saa_pce_rt,m12_sme_bzn_saa_pce_rt,new_area_with_public
000F03E44A,서울특별시 성동구 왕십리로4가길 9,육육**,,중식-딤섬/중식만두,뚝섬,2023,2.084716667,36.72615,0,22.1558,0,0.698616667,13.55718333,0,24.77753333,0,0,40.83333333,0,16.66666667,83.33333333,79.16666667,95,82.5,82.5,77.91666667,,,0.366666667,1.016666667,94.76666667,74.26666667,중식음식점
000F03E44A,서울특별시 성동구 왕십리로4가길 9,육육**,,중식-딤섬/중식만두,뚝섬,2024,15.40431818,14.38525455,5.876836364,14.00362727,13.12853636,8.904772727,6.823836364,4.195890909,9.378190909,7.880554545,6.644545455,18.31727273,12.92,12.92,74.16,62.5,88.18181818,83.63636364,83.63636364,69.31818182,1,69.28333333,3.472727273,4.836363636,90.07272727,67.00909091,중식음식점
002816BA73,서울 성동구 청계천로10나길 78,자갈***********,,요리주점,마장동,2023,8.280058333,22.672775,18.96506667,19.86100833,10.30465833,2.078275,5.635558333,4.709933333,4.938991667,2.553675,12.1075,8.148333333,16.49166667,15.525,68,20.83333333,35.83333333,62.5,56.25,19.16666667,1,,121.5333333,56.19166667,18.10833333,22.625,호프-간이주점
002816BA73,서울 성동구 청계천로10나길 78,자갈***********,,요리주점,마장동,2024,5.582033333,21.93896667,20.58231667,22.15333333,11.396125,1.259633333,4.911033333,4.626016667,4.963333333,2.570541667,10.32083333,7.1775,18.75,13.21666667,68.01666667,17.5,39.58333333,62.5,60.41666667,17.5,1,,111.325,51.225,16.525,20.05833333,호프-간이주점
003473B465,서울특별시 성동구 서울숲길 55,바틀****************,,백반/가정식,뚝섬,2023,10.9598,43.2174,25.1688,1.4945,3.6163,2.9402,7.3076,4.3312,0.6305,0.3337,45.28,7.665,0,0,100,62.5,82.5,82.5,82.5,27.5,,,6.375,3.275,77.875,65.125,한식음식점
003AC99735,서울특별시 성동구 용답중앙15길 12,메가************,커피전문점2,커피전문점,답십리,2023,17.71016667,15.67298333,11.75746667,9.800275,3.38885,12.6565,11.20201667,8.400866667,6.999725,2.419483333,36.2875,6.569166667,32.125,11.575,56.3,62.5,22.5,5,5,84.58333333,,1.658333333,256.35,459.5333333,4.341666667,10.05833333,커피-음료
003AC99735,서울특별시 성동구 용답중앙15길 12,메가************,커피전문점2,커피전문점,답십리,2024,15.45764167,16.4914,11.32539167,11.226425,4.549241667,10.74235833,11.42526667,7.857941667,7.773575,3.150758333,36.61166667,6.689166667,35.11666667,10.48333333,54.40833333,39.58333333,22.5,5,5,91.875,,1.341666667,277.35,514.7916667,3.858333333,9.916666667,커피-음료
0041E4E5AE,서울특별시 성동구 용답중앙15길 1,엄마****,,한식-찌개/전골,답십리,2023,15.13381667,13.23110833,13.821975,18.52891667,9.922075,6.299516667,5.510558333,5.753025,7.71275,4.127925,31.74416667,7.245833333,28.08333333,15.08333333,56.84166667,37.5,17.5,17.5,16.45833333,60.41666667,,5.858333333,217.0583333,425.6583333,7.8,8.6,한식음식점
0041E4E5AE,서울특별시 성동구 용답중앙15길 1,엄마****,,한식-찌개/전골,답십리,2024,13.99481667,15.54895833,12.92319167,17.71541667,11.23183333,5.605183333,6.226041667,5.176808333,7.092916667,4.493166667,31.74583333,6.235833333,28.35833333,13.41666667,58.25,37.5,20.83333333,17.5,17.5,58.33333333,,9.508333333,205.3416667,423.4083333,7.325,8.4,한식음식점
0050D68B18,서울특별시 성동구 아차산로 87,70**************,,룸살롱/단란주점,성수,2023,0,5.322157143,17.63927143,31.77288571,8.213357143,0,3.363557143,10.16072857,18.86997143,4.672357143,33.32285714,32.93285714,18.47142857,23.95714286,57.57142857,93.21428571,15.71428571,62.5,62.5,5,1,,474.2571429,239.2857143,15.15714286,26.78571429,호프-간이주점
0050D68B18,서울특별시 성동구 아차산로 87,70**************,,룸살롱/단란주점,성수,2024,0,4.135391667,21.067075,42.05490833,17.8783,0,0.814608333,4.057925,7.136758333,2.880033333,24.88416667,6.9275,27.5,16.36666667,56.11666667,82.5,25.20833333,64.16666667,65.83333333,5,1,,381.9333333,209.0333333,1.316666667,13.53333333,호프-간이주점
00646B6673,서울특별시 성동구 고산자로 164,봉밀******,,한식-냉면,왕십리,2023,3.136041667,13.12848333,15.4049,11.3649,5.531566667,3.172291667,13.97985,16.5201,12.04343333,5.718433333,19.57166667,11.53083333,60.98333333,4.725,34.29166667,77.5,53.75,45.83333333,43.75,45.83333333,1,71.63333333,78.09166667,82.15,37.21666667,0,한식음식점
00646B6673,서울특별시 성동구 고산자로 164,봉밀******,,한식-냉면,왕십리,2024,3.663225,14.749475,15.10995,11.32800833,7.331716667,3.345108333,13.49219167,13.84838333,10.34699167,6.73495,24.5525,7.203333333,64.79166667,4.108333333,31.09166667,62.5,47.91666667,41.66666667,41.66666667,43.75,,72.81666667,85.925,101.3333333,23.76666667,0,한식음식점
0074C4990A,서울 성동구 마장동,대용**,,축산물,마장동,2023,1.981233333,3.977158333,6.206058333,12.79153333,22.53595,2.218766667,4.406175,6.835608333,14.20013333,24.86405,25.89083333,5.411666667,11.475,4.558333333,83.98333333,20.83333333,36.25,63.75,61.66666667,13.95833333,1,,234.5,37.325,4.766666667,9.208333333,기타_식재료
0074C4990A,서울 성동구 마장동,대용**,,축산물,마장동,2024,2.000875,3.763808333,6.432708333,10.871975,21.8816,2.474125,4.527858333,7.875625,13.278025,26.86006667,21.55166667,7.789166667,18.525,1.691666667,79.78333333,17.5,31.66666667,65.83333333,64.16666667,11.25,1,,129.775,41.49166667,14.74166667,12.4,기타_식재료
007BE37BA2,서울특별시 성동구 연무장7가길 2,토리******,,한식-단품요리일반,성수,2023,17.91316667,6.933341667,2.409366667,1.7766,0.329458333,43.3535,16.49165833,5.7823,4.240066667,0.778875,4.801666667,6.688333333,7.016666667,8.708333333,84.275,72.5,20.41666667,35.83333333,32.5,32.5,,,181.7583333,158.175,8.05,9.025,한식음식점
007BE37BA2,서울특별시 성동구 연무장7가길 2,토리******,,한식-단품요리일반,성수,2024,23.22298333,13.553325,3.48705,2.605425,0.641725,30.19368333,17.56334167,4.521283333,3.402908333,0.833275,4.184166667,8.091666667,11.625,8.216666667,80.19166667,62.5,17.5,37.5,35.83333333,24.16666667,,,245.475,140.6,6.525,10.275,한식음식점
00803E9174,서울특별시 성동구 성수이로 18,포도****,,양식,성수,2024,9.69248,8.04354,2.35848,1.09504,0.25092,35.20752,30.12646,8.38152,3.75496,1.08908,9.115,31.497,19.9,3.88,76.23,90,53,72.5,70.5,15,1,,48.26,24.42,56.56,45.99,양식음식점
00A2CF886A,서울 성동구 왕십리로22길 6,별*,,일반 유흥주점,왕십리,2023,15.15753333,29.41003333,19.20591667,13.56125,5.941183333,3.109133333,5.914966667,3.819083333,2.68875,1.183816667,11.22666667,10.44,16.575,8.383333333,75.03333333,37.5,45.83333333,74.16666667,74.16666667,6.041666667,1,,125.5833333,128.275,20.84166667,36.63333333,호프-간이주점
00A2CF886A,서울 성동구 왕십리로22길 6,별*,,일반 유흥주점,왕십리,2024,12.55421667,30.90220833,24.567875,16.35500833,4.628883333,1.545783333,3.864458333,3.023791667,1.986658333,0.571116667,10.855,7.29,22.65,4.233333333,73.10833333,35.83333333,49.58333333,77.5,77.5,9.791666667,1,,109.1916667,93.60833333,11.26666667,30.00833333,호프-간이주점
00BC189C4B,서울  성동구  성수1가2동,땅끝******,,한식-해물/생선,뚝섬,2023,8.848933333,20.77751667,12.50123333,14.92388333,15.342175,3.3594,7.930816667,4.765433333,5.692783333,5.849491667,21.15083333,6.278333333,42.35833333,20.45833333,37.175,5,29.16666667,60.41666667,58.33333333,15.41666667,1,0.183333333,100.0583333,57.23333333,19.81666667,15.55833333,한식음식점
00BC189C4B,서울  성동구  성수1가2동,땅끝******,,한식-해물/생선,뚝섬,2024,4.840775,21.061675,14.93388333,15.3463,14.46498333,2.000891667,8.754991667,6.19945,6.3787,6.026683333,18.55416667,7.871666667,41.5,25.125,33.38333333,5,30.83333333,56.25,56.25,15.41666667,1,0.258333333,122.7416667,61.53333333,21.45833333,16.89166667,한식음식점
00CEAAD71A,서울 성동구 왕십리로24나길 6.,근이***,,포장마차,왕십리,2023,10.281425,16.03060833,13.53245833,24.5289,10.34738333,3.493575,5.452725,4.584208333,8.2711,3.494283333,15.52916667,8.744166667,30.725,14.6,54.68333333,37.5,64.16666667,64.16666667,64.16666667,30.83333333,1,,42.05,37.88333333,37.33333333,43.98333333,분식전문점
00CEAAD71A,서울 성동구 왕십리로24나길 6.,근이***,,포장마차,왕십리,2024,8.674191667,20.44883333,18.32276667,23.49569167,7.906541667,2.325808333,5.476166667,4.910566667,6.312641667,2.135125,16.20416667,7.253333333,35.35833333,16.50833333,48.15833333,30.83333333,58.33333333,65.83333333,65.83333333,25.83333333,1,,49.25,42.6,33.70833333,41.49166667,분식전문점
00DA1813DE,서울특별시 성동구 독서당로60길 2,망고***,,청과물,옥수,2023,3.46835,3.37569,6.6863,7.4058,13.41196,6.95165,6.70431,12.4937,12.9242,26.51804,13.674,8.57,0,0,100,62.5,92.5,82.5,82.5,73.75,,,1.27,3.36,75.2,0,기타_식재료
00DA1813DE,서울특별시 성동구 독서당로60길 2,망고***,,청과물,옥수,2024,2.20095,4.36905,11.5825,4.36905,30.37845,2.82405,5.60595,9.6675,5.60595,23.39655,4.8975,11.1475,0,0,100,37.5,91.875,82.5,82.5,77.5,,,0.75,1.125,78.05,0,기타_식재료
00F54829E1,서울특별시 성동구 왕십리로 410,카페***,,카페,왕십리,2023,10.84545833,12.94506667,8.533791667,5.519758333,1.98265,16.39620833,19.56326667,12.907875,8.338575,2.99235,30.03916667,7.616666667,37.65833333,7.691666667,54.64166667,82.5,54.16666667,20.83333333,25.83333333,82.5,1,,86.45,88.58333333,27.04166667,0,커피-음료
00F54829E1,서울특별시 성동구 왕십리로 410,카페***,,카페,왕십리,2024,8.760625,14.337225,8.754616667,6.434241667,3.348358333,12.289375,20.07944167,12.25371667,9.057425,4.668308333,34.18416667,7.489166667,43.20833333,6.091666667,50.725,65.83333333,50,17.5,22.5,82.5,1,,114.9666667,108.7666667,19.64166667,0,커피-음료
00F733C995,서울특별시 성동구 아차산로 126,성수*************,,한식-육류/고기,성수,2023,16.75708333,22.86869167,12.6008,7.997033333,3.690541667,9.417916667,12.90630833,7.1242,4.5113,2.109458333,36.1,5.796666667,9.541666667,47.46666667,42.99166667,62.5,8.125,17.5,17.5,37.91666667,,,455.5166667,310.0166667,1.975,4.283333333,한식음식점
00F733C995,서울특별시 성동구 아차산로 126,성수*************,,한식-육류/고기,성수,2024,14.79210833,19.60374167,11.488875,7.467675,3.79285,11.091225,14.69625833,8.619458333,5.598991667,2.840483333,37.06083333,6.065,11.19166667,49.35,39.475,62.5,7.083333333,17.5,17.5,37.5,,,356.175,330.675,2.966666667,5.475,한식음식점
00FDB35E9C,서울특별시 성동구 마조로15길 19,작은**,,카페,왕십리,2023,20.05575,12.56780833,3.7893,3.944825,1.802933333,27.57758333,17.215525,5.202366667,5.396841667,2.472066667,36.31166667,5.960833333,44.175,13.6,42.21666667,45.83333333,64.16666667,37.5,43.75,82.5,,5.558333333,38.75,38.29166667,44.13333333,0,커피-음료
00FDB35E9C,서울특별시 성동구 마조로15길 19,작은**,,카페,왕십리,2024,18.9083,14.84084167,4.122008333,3.877008333,1.06615,25.22503333,19.850825,5.502991667,5.164658333,1.417183333,33.73833333,7.284166667,51.125,15.53333333,33.31666667,37.5,62.5,37.5,43.75,80.83333333,,33.53333333,46.075,38.68333333,40.79166667,0,커피-음료
